""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"label"
"128110"	0.385123966942149	0.515702479338843	0.353719008264463	0.474380165289256	0.249586776859504	0.00826446280991736	0.00661157024793388	0.00495867768595041	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	"c"
"128120"	0.343949044585987	0.622929936305732	0.564331210191083	0.360509554140127	0.0484076433121019	0.0394904458598726	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	"c"
"128123"	0.35	0.665384615384615	0.436538461538462	0.351923076923077	0.121153846153846	0.0230769230769231	0.0442307692307692	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	"c"
"128124"	0.324193548387097	0.548387096774194	0.393548387096774	0.508064516129032	0.156451612903226	0.0209677419354839	0.0370967741935484	0.00806451612903226	0.00161290322580645	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	"c"
"128137"	0.264367816091954	0.657471264367816	0.418390804597701	0.455172413793103	0.163218390804598	0.00689655172413793	0.00229885057471264	0.00919540229885057	0.00689655172413793	0.00689655172413793	0.00459770114942529	0	0.00229885057471264	1e-05	1e-05	1e-05	"c"
"128142"	0.337777777777778	0.626666666666667	0.56	0.2	0.248888888888889	0.00444444444444444	0.00444444444444444	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	"c"
"128143"	0.334375	0.753125	0.50625	0.275	0.08125	0.0125	0.0125	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	"c"
"396607"	0.375925925925926	0.612962962962963	0.462962962962963	0.351851851851852	0.151851851851852	0.0111111111111111	0.0222222222222222	0.00740740740740741	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	"c"
"396608"	0.340585774058577	0.800836820083682	0.641422594142259	0.0815899581589958	0.11673640167364	0.0117154811715481	0.00334728033472803	0.000836820083682008	0.00125523012552301	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	"c"
"9559195"	0.418032786885246	0.629508196721312	0.409836065573771	0.265573770491803	0.2	0.0131147540983607	0.0114754098360656	0.0344262295081967	0.0147540983606557	0.00163934426229508	0	0	0	1e-05	1e-05	1e-05	"c"
"9559196"	0.445454545454545	0.698484848484848	0.443939393939394	0.192424242424242	0.153030303030303	0.0106060606060606	0.0257575757575758	0.0196969696969697	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	"c"
"9559229"	0.392895878524946	0.585357917570499	0.364642082429501	0.400867678958785	0.253199566160521	0.00244034707158351	0.000379609544468547	0.000162689804772234	0	0	0	0	0	0	1e-05	1e-05	"c"
"9559230"	0.39814371257485	0.615928143712575	0.376946107784431	0.358922155688623	0.245149700598802	0.00215568862275449	0.00173652694610778	0.000718562874251497	5.98802395209581e-05	5.98802395209581e-05	0.000119760479041916	0	1e-05	1e-05	1e-05	1e-05	"c"
"9559237"	0.337931034482759	0.917241379310345	0.496551724137931	0.0482758620689655	0.186206896551724	0.00689655172413793	0	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	"c"
"9559249"	0.344303797468354	0.80253164556962	0.60253164556962	0.0354430379746835	0.210126582278481	0	0.00253164556962025	0	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	"c"
"9559257"	0.443137254901961	1.16862745098039	0.116339869281046	0.243137254901961	0.0274509803921569	0	0	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	"c"
"9559258"	0.333333333333333	1.15	0.166666666666667	0.1	0.0666666666666667	0.05	0.116666666666667	0	0	0	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	"c"
"9559259"	0.503296703296703	1.01978021978022	0.202197802197802	0.186813186813187	0.0813186813186813	0	0.0043956043956044	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	"c"
"9559266"	0.493103448275862	0.866794380587484	0.265389527458493	0.271775223499361	0.0744572158365262	0.0106002554278416	0.00996168582375479	0.00498084291187739	0.00191570881226054	0.000510855683269476	0.000127713920817369	0	0.000127713920817369	1e-05	1e-05	1e-05	"c"
"9559268"	0.491503267973856	1.01176470588235	0.158169934640523	0.281045751633987	0.0470588235294118	0.00392156862745098	0.00261437908496732	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	"c"
"9559269"	0.666666666666667	0.626666666666667	0.386666666666667	0.12	0	0.146666666666667	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	"c"
"9559270"	1.6	0	0.2	0	0	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	"c"
"9559271"	0.445045045045045	1.16576576576577	0.167567567567568	0.2	0.018018018018018	0.0018018018018018	0	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	"c"
