""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"label"
"128110"	0.328925619834711	0.555371900826446	0.39504132231405	0.487603305785124	0.211570247933884	0.00826446280991736	0.00661157024793388	0.00495867768595041	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	"c"
"128120"	0.361783439490446	0.65859872611465	0.547770700636943	0.332484076433121	0.0394904458598726	0.0394904458598726	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	"c"
"128123"	0.330769230769231	0.725	0.405769230769231	0.365384615384615	0.0980769230769231	0.0230769230769231	0.0442307692307692	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	"c"
"128124"	0.330645161290323	0.574193548387097	0.4	0.479032258064516	0.146774193548387	0.0209677419354839	0.0370967741935484	0.00806451612903226	0.00161290322580645	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	"c"
"128137"	0.275862068965517	0.609195402298851	0.455172413793103	0.471264367816092	0.147126436781609	0.00689655172413793	0.00229885057471264	0.00919540229885057	0.00689655172413793	0.00689655172413793	0.00459770114942529	0	0.00229885057471264	1e-05	1e-05	1e-05	"c"
"128142"	0.355555555555556	0.688888888888889	0.426666666666667	0.213333333333333	0.288888888888889	0.00444444444444444	0.00444444444444444	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	"c"
"128143"	0.340625	0.75625	0.43125	0.328125	0.09375	0.0125	0.0125	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	"c"
"396607"	0.366666666666667	0.644444444444444	0.446296296296296	0.32037037037037	0.177777777777778	0.0111111111111111	0.0222222222222222	0.00740740740740741	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	"c"
"396608"	0.34979079497908	0.810460251046025	0.623430962343096	0.0836820083682008	0.113807531380753	0.0117154811715481	0.00334728033472803	0.000836820083682008	0.00125523012552301	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	"c"
"9559195"	0.462295081967213	0.622950819672131	0.414754098360656	0.237704918032787	0.185245901639344	0.0131147540983607	0.0114754098360656	0.0344262295081967	0.0147540983606557	0.00163934426229508	0	0	0	1e-05	1e-05	1e-05	"c"
"9559196"	0.416666666666667	0.743939393939394	0.446969696969697	0.171212121212121	0.154545454545455	0.0106060606060606	0.0257575757575758	0.0196969696969697	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	"c"
"9559229"	0.390726681127983	0.589642082429501	0.36355748373102	0.396800433839479	0.256236442516269	0.00244034707158351	0.000379609544468547	0.000162689804772234	0	0	0	0	0	0	1e-05	1e-05	"c"
"9559230"	0.39251497005988	0.612095808383234	0.381616766467066	0.363892215568862	0.24497005988024	0.00215568862275449	0.00173652694610778	0.000718562874251497	5.98802395209581e-05	5.98802395209581e-05	0.000119760479041916	0	1e-05	1e-05	1e-05	1e-05	"c"
"9559237"	0.4	0.848275862068966	0.441379310344828	0.096551724137931	0.2	0.00689655172413793	0	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	"c"
"9559249"	0.341772151898734	0.772151898734177	0.6	0.0582278481012658	0.222784810126582	0	0.00253164556962025	0	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	"c"
"9559257"	0.471895424836601	1.1202614379085	0.138562091503268	0.244444444444444	0.0235294117647059	0	0	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	"c"
"9559258"	0.166666666666667	1.4	0.15	0.05	0.05	0.05	0.116666666666667	0	0	0	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	"c"
"9559259"	0.49010989010989	1.03076923076923	0.191208791208791	0.186813186813187	0.0945054945054945	0	0.0043956043956044	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	"c"
"9559266"	0.494380587484036	0.869093231162197	0.262324393358876	0.272541507024266	0.0731800766283525	0.0106002554278416	0.00996168582375479	0.00498084291187739	0.00191570881226054	0.000510855683269476	0.000127713920817369	0	0.000127713920817369	1e-05	1e-05	1e-05	"c"
"9559268"	0.462745098039216	1.01045751633987	0.183006535947712	0.271895424836601	0.061437908496732	0.00392156862745098	0.00261437908496732	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	"c"
